Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	
1.710131	0.022655	0.041210	-0.003001	50.000000	45.000000	0.060000	
1.710631	0.022655	0.041210	-0.003001	50.000000	45.000000	0.060000	
1.711131	0.022655	0.041210	-0.003001	50.000000	45.000000	0.060000	
1.711632	0.022621	0.041268	-0.003058	50.000000	45.000000	0.060000	
1.712132	0.022621	0.041268	-0.003058	50.000000	45.000000	0.060000	
1.712632	0.022621	0.041268	-0.003058	50.000000	45.000000	0.060000	
1.713133	0.022656	0.041325	-0.003116	50.000000	45.000000	0.060000	
1.713633	0.022656	0.041325	-0.003116	50.000000	45.000000	0.060000	
1.714133	0.022621	0.041383	-0.003174	50.000000	45.000000	0.060000	
1.714634	0.022621	0.041383	-0.003174	50.000000	45.000000	0.060000	
1.715134	0.022587	0.041441	-0.003231	50.000000	45.000000	0.060000	
1.715635	0.022587	0.041441	-0.003231	50.000000	45.000000	0.060000	
1.716135	0.022587	0.041441	-0.003231	50.000000	45.000000	0.060000	
1.716635	0.022587	0.041488	-0.003330	50.000000	45.000000	0.060000	
1.717136	0.022587	0.041488	-0.003330	50.000000	45.000000	0.060000	
1.717636	0.022587	0.041488	-0.003330	50.000000	45.000000	0.060000	
1.718136	0.022587	0.041488	-0.003330	50.000000	45.000000	0.060000	
1.718637	0.022587	0.041488	-0.003330	50.000000	45.000000	0.060000	
1.719137	0.022553	0.041614	-0.003404	50.000000	45.000000	0.060000	
1.719637	0.022553	0.041614	-0.003404	50.000000	45.000000	0.060000	
1.720138	0.022553	0.041593	-0.003486	50.000000	45.000000	0.060000	
1.720638	0.022553	0.041593	-0.003486	50.000000	45.000000	0.060000	
1.721138	0.022553	0.041593	-0.003486	50.000000	45.000000	0.060000	
1.721639	0.022553	0.041661	-0.003503	50.000000	45.000000	0.060000	
1.722139	0.022553	0.041661	-0.003503	50.000000	45.000000	0.060000	
1.722639	0.022519	0.041718	-0.003561	50.000000	45.000000	0.060000	
1.723140	0.022519	0.041718	-0.003561	50.000000	45.000000	0.060000	
1.723640	0.022519	0.041786	-0.003578	50.000000	45.000000	0.060000	
1.724141	0.022519	0.041786	-0.003578	50.000000	45.000000	0.060000	
1.724641	0.022519	0.041786	-0.003578	50.000000	45.000000	0.060000	
1.725141	0.022519	0.041833	-0.003676	50.000000	45.000000	0.060000	
1.725642	0.022519	0.041833	-0.003676	50.000000	45.000000	0.060000	
1.726142	0.022519	0.041833	-0.003676	50.000000	45.000000	0.060000	
1.726642	0.022520	0.041880	-0.003775	50.000000	45.000000	0.060000	
1.727143	0.022520	0.041880	-0.003775	50.000000	45.000000	0.060000	
1.727643	0.022520	0.041948	-0.003792	50.000000	45.000000	0.060000	
1.728143	0.022520	0.041948	-0.003792	50.000000	45.000000	0.060000	
1.728644	0.022485	0.041938	-0.003833	50.000000	45.000000	0.060000	
